UUID,Product,Rating,Reviewer,Subject,Review
cc36b48d-36d9-408b-a52f-41614ab81486,e51b6b57-87b8-4fe2-bf43-b39cfef5f6f8,4.5,jennifer_kappel,Style reflects our brand,"The style perfectly reflects our brand—true to its core, essential, and made to last."
c9f0712e-7668-4afc-99b7-3b31043b4301,e51b6b57-87b8-4fe2-bf43-b39cfef5f6f8,4.0,marc_rust,Inviting guests,I can’t wait to invite clients and prospects to our office.
c28c804f-c258-4898-be13-ec36f453be54,e51b6b57-87b8-4fe2-bf43-b39cfef5f6f8,5.0,alex_angstrom,Extension of our team,"Our office is like an extended member of our team. It has a history and a life, and people love to talk about it."
ce770fba-0856-4bc3-b994-a865efb84f4e,3c5bc207-8645-42c9-a985-5bda3f47affd,4.5,jennifer_kappel,Fluid technology,Our office is now a fluid extension of our technology. Wonderfully innovative.
c84edbec-41eb-4742-ae06-c3755f0d35a4,3c5bc207-8645-42c9-a985-5bda3f47affd,5.0,marc_rust,Forward-thinking,It’s exciting to work in a space as forward-thinking as our company itself.
c47280b5-9e64-411e-88e4-a939e57152ff,3c5bc207-8645-42c9-a985-5bda3f47affd,5.0,alex_angstrom,Detail and Innovation,The attention to detail and innovation has surpassed our expectations.
c203f66d-0519-4263-9de0-99b6ff74c32c,8bde16b8-d2b1-410f-94e0-20772eba1f66,5.0,jennifer_kappel,Simplicity,"The best user experience requires simplicity, so it more than makes sense that our office should reflect our core values."
cb830ec9-a911-43a0-9e53-d578be80af00,8bde16b8-d2b1-410f-94e0-20772eba1f66,5.0,marc_rust,Exactly what we need,Exactly what we needed. Perfect design.
cb887808-7be9-4959-8ec4-aecc3238992e,8bde16b8-d2b1-410f-94e0-20772eba1f66,5.0,alex_angstrom,What more,Who could ask for anything more?
c9e6aab3-7df4-4c3a-91eb-536bf2536f38,fd8b5e13-dbc8-4585-8bb5-c41f81937279,4.5,jennifer_kappel,Incredibly satisfied,It’s incredibly satisfying to style an office with furniture that looks great and makes the world safer for us.
cfa76370-5b44-48cb-93ee-525d1816188a,fd8b5e13-dbc8-4585-8bb5-c41f81937279,5.0,marc_rust,We want more,"We want to be a business that’s around for 100 years, and that starts with how we treat our world. The Eco-friendly Style Collection is perfect."
c7c2830e-b8ff-4783-96a7-00537a0edba9,fd8b5e13-dbc8-4585-8bb5-c41f81937279,5.0,alex_angstrom,Amazing,People are shocked that our furniture can looks this amazing and still be LEED certified.
cb7cb6a1-bc59-4246-93fd-9f4123b6b7d0,c13b15c0-7407-4790-9cab-b6640e6a965c,5.0,jennifer_kappel,Style reflects our brand,"The style perfectly reflects our brand—true to its core, essential, and made to last."
c0459fcb-ef40-47ba-b1b5-44aeb6dd1eae,c13b15c0-7407-4790-9cab-b6640e6a965c,5.0,marc_rust,Inviting guests,I can’t wait to invite clients and prospects to our office.
c53f311f-35d7-4180-ac13-f572e6fe144e,c13b15c0-7407-4790-9cab-b6640e6a965c,5.0,alex_angstrom,Extension of our team,"Our office is like an extended member of our team. It has a history and a life, and people love to talk about it."
ce919ae6-93ea-4cf2-9e75-ce1b1e1acdb7,25558824-979f-4d53-b0c8-15f1294b8f0d,3.5,jennifer_kappel,Fluid technology,Our office is now a fluid extension of our technology. Wonderfully innovative.
c3e027ae-f972-4c30-9d22-8479a778b683,25558824-979f-4d53-b0c8-15f1294b8f0d,5.0,marc_rust,Forward-thinking,It’s exciting to work in a space as forward-thinking as our company itself.
c577c10f-40e9-4ab0-8f5b-234b9820a442,25558824-979f-4d53-b0c8-15f1294b8f0d,4.5,alex_angstrom,Detail and Innovation,The attention to detail and innovation has surpassed our expectations.
c734b7c7-6b70-4610-944b-008ee17f9f96,2e0f48e4-474c-40d3-b7f8-e0c2f4a201da,5.0,jennifer_kappel,Simplicity,"The best user experience requires simplicity, so it more than makes sense that our office should reflect our core values."
cf7f35e4-da9e-4802-9987-1d88b1783987,2e0f48e4-474c-40d3-b7f8-e0c2f4a201da,5.0,marc_rust,Exactly what we need,Exactly what we needed. Perfect design.
cd8b9586-c6ab-421b-a6d4-d2face415b4b,345957de-c7db-4e8f-ad35-c794d81058f5,5.0,alex_angstrom,What more,Who could ask for anything more?
c444ba41-b8f2-482c-ab36-fad4bedf4733,345957de-c7db-4e8f-ad35-c794d81058f5,5.0,jennifer_kappel,Incredibly satisfied,It’s incredibly satisfying to style an office with furniture that looks great and makes the world safer for us.
cfb26109-b059-42af-bc89-0cdb897711b2,345957de-c7db-4e8f-ad35-c794d81058f5,4.0,marc_rust,We want more,"We want to be a business that’s around for 100 years, and that starts with how we treat our world. The Eco-friendly Style Collection is perfect."
ca5a0bd9-fe5e-4d67-aa34-f9f1dc1953fe,a5757f3b-483c-4ee7-af12-5d8ef34e8a19,5.0,alex_angstrom,Amazing,People are shocked that our furniture can looks this amazing and still be LEED certified.
c003584c-6980-4de7-be49-605c1e2a8a44,a5757f3b-483c-4ee7-af12-5d8ef34e8a19,5.0,jennifer_kappel,Style reflects our brand,"The style perfectly reflects our brand—true to its core, essential, and made to last."
c3def45c-4a70-4c1f-bb05-e4bc4534102e,a5757f3b-483c-4ee7-af12-5d8ef34e8a19,5.0,marc_rust,Inviting guests,I can’t wait to invite clients and prospects to our office.
ce9bd007-8267-4447-a82d-0950c238c583,d52374ed-d793-4b52-93a0-71a86f8dcff5,5.0,alex_angstrom,Extension of our team,"Our office is like an extended member of our team. It has a history and a life, and people love to talk about it."
c9c0ee90-4a13-4547-8f75-e5acaf97e317,d52374ed-d793-4b52-93a0-71a86f8dcff5,5.0,jennifer_kappel,Fluid technology,Our office is now a fluid extension of our technology. Wonderfully innovative.
c9a281cb-04b4-4ade-9c5a-c641537e21cf,d52374ed-d793-4b52-93a0-71a86f8dcff5,4.0,marc_rust,Forward-thinking,It’s exciting to work in a space as forward-thinking as our company itself.
cd0bfe8c-fe33-4429-9c77-44dcb757ffd3,4c2b074e-ec64-4aa3-a1af-2bf0f28e0dca,5.0,alex_angstrom,Detail and Innovation,The attention to detail and innovation has surpassed our expectations.
cd8376f0-e8ac-48de-8ab9-21f2c970e4ba,4c2b074e-ec64-4aa3-a1af-2bf0f28e0dca,4.5,jennifer_kappel,Simplicity,"The best user experience requires simplicity, so it more than makes sense that our office should reflect our core values."
c6b497f6-80f9-486d-9527-444f3733ec2b,4c2b074e-ec64-4aa3-a1af-2bf0f28e0dca,5.0,marc_rust,Exactly what we need,Exactly what we needed. Perfect design.
ce18bbda-d4ef-4699-8635-56fa33c9270f,ea6dd88a-2c27-44cd-bdf0-9d9871dda709,5.0,alex_angstrom,What more,Who could ask for anything more?
cb2788c0-5684-4859-a2cc-fce9366dbd9d,ea6dd88a-2c27-44cd-bdf0-9d9871dda709,4.0,jennifer_kappel,Incredibly satisfied,It’s incredibly satisfying to style an office with furniture that looks great and makes the world safer for us.
c360c4b3-2c45-48bb-a149-6c29a917a028,ea6dd88a-2c27-44cd-bdf0-9d9871dda709,5.0,marc_rust,We want more,"We want to be a business that’s around for 100 years, and that starts with how we treat our world. The Eco-friendly Style Collection is perfect."
c00a5516-c48a-4d71-af0a-1fd74d10c342,87a2aec3-c3b9-4db4-a8d5-c2e8ba3e02d9,4.5,alex_angstrom,Amazing,People are shocked that our furniture can looks this amazing and still be LEED certified.
c038c6fe-6754-4745-9f4d-06e084493843,87a2aec3-c3b9-4db4-a8d5-c2e8ba3e02d9,5.0,jennifer_kappel,Style reflects our brand,"The style perfectly reflects our brand—true to its core, essential, and made to last."
c9111f8f-42d8-40b7-b2e8-9395f1cffd1a,87a2aec3-c3b9-4db4-a8d5-c2e8ba3e02d9,5.0,marc_rust,Inviting guests,I can’t wait to invite clients and prospects to our office.
cc27f2c0-0e6a-40bc-832a-7cd95f43e477,c364ba84-d407-4ffc-8fad-bff10ce07817,5.0,alex_angstrom,Extension of our team,"Our office is like an extended member of our team. It has a history and a life, and people love to talk about it."
c766db60-641a-4240-ac67-99fc49db1569,c364ba84-d407-4ffc-8fad-bff10ce07817,4.5,jennifer_kappel,Fluid technology,Our office is now a fluid extension of our technology. Wonderfully innovative.
ceec12a8-3045-4ef0-827c-4382248189d5,c364ba84-d407-4ffc-8fad-bff10ce07817,5.0,marc_rust,Forward-thinking,It’s exciting to work in a space as forward-thinking as our company itself.
